"domain","ip_address"
"darkcapture.app","Addresses:  2606:4700:3030::6815:1001"
"123movies-org.site","Addresses:  172.233.219.78"
"w6.putlockers1.cc"," 103.224.212.212"
"www3.5movierulzfree.me"," 103.224.182.251"
"file.torrentdownload.co.kr"," 10.14.0.70"
"www.ssoap2day.to","Addresses:  2606:4700:3032::6815:2a2e"
"moviesfd.xyz"," 37.48.65.153"
"www.cpasmieux.tv"," 185.107.56.194"
"fullfilmstream.org","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"gomovies.fan","Addresses:  2606:4700:3032::ac43:d407"
"lendaflixbrasil.com"," 10.14.0.70"
"kickasstorrents.to","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"123moviesca.com"," 37.48.65.145"
"www1.hiperflix.live","Addresses:  172.237.146.25"
"zxcmovies.com"," 82.192.82.226"
"yts.unblockninja.com","Addresses:  2606:4700:3033::ac43:c117"
"yts.rs","Addresses:  2606:4700:3031::6815:2fa2"
"yify-yts.com"," 156.225.133.167"
"yifytorrentme.com","Addresses:  172.237.146.8"
"yifytorrenthd.net"," 103.224.212.215"
"www.torrentdosfilmes2.net","Addresses:  172.237.146.25"
"www.thepiratefilmestorrent.tv"," 185.107.56.53"
"www.superflix.net","Addresses:  172.234.17.55"
"www.saison-streaming.com","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"www.kidsmovies.co","Addresses:  172.237.146.38"
"www.filmesonline.stream"," 82.192.82.228"
"www.baixarseriesmp4.net"," 199.59.243.228"
"www.avoirfilm.com"," 10.14.0.70"
"www.assistirfilmesgratisonline.me"," 10.14.0.70"
"www4.watchserieshd.tv","Addresses:  172.233.219.78"
"www2.watchserieshd.ru"," 10.14.0.70"
"www2.solarmovie.to"," 10.14.0.70"
"www1.putlocker3.me"," 5.79.68.109"
"wwvwvvwx.zone-telechargements.fr","Addresses:  172.237.146.38"
"ww1.123movieshome.pro"," 10.14.0.70"
"wvv.streampourvous.com"," 69.16.230.165"
"watchseries-tv.online"," 103.224.182.215"
"voirfilmvf.club","Addresses:  172.237.146.8"
"vf-film.vip"," 82.192.82.227"
"tu123movies.com"," 199.59.243.228"
"torrentsfilmes4k.net"," 54.172.52.217"
"torrentoon.org"," 10.14.0.70"
"torrentool.org","Addresses:  13.248.148.254"
"torrentfilmesxd.com"," 10.14.0.70"
"topflix.tv","Addresses:  2606:4700:3033::ac43:a38e"
"topfilmestorrents.com"," 10.14.0.70"
"thepiratefilmeshd.com.br","Addresses:  2606:4700:3034::6815:338c"
"superfilmesonline.pro"," 74.63.241.30"
"streamingcomplet.video"," 10.14.0.70"
"stockholm-sardou.fr"," 10.14.0.70"
"solotorrent.group"," 10.14.0.70"
"solegendas.net"," 10.14.0.70"
"putlockers.app"," 34.235.250.63"
"pobreflix.com"," 199.59.243.228"
"papystreaming.black","Addresses:  172.233.219.123"
"ondebaixa.com"," 69.16.230.165"
"movies4us.me","Addresses:  2606:4700:3036::6815:4c60"
"melomovie.com","Addresses:  172.233.219.123"
"megaflix.online","Addresses:  ::ffff:146.112.61.108"
"megafilmeseseriesonline.com","Addresses:  172.233.219.78"
"gordotorrents.tv"," 10.14.0.70"
"frenchstream.tube"," 10.14.0.70"
"filmstream.ws"," 199.59.243.228"
"filmstreaming.red"," 199.59.243.228"
"filmes.top"," 185.107.56.192"
"filmesnomega.info","Addresses:  76.223.67.189"
"comando4kfilmes.net"," 10.14.0.70"
"br.filmestorrent.gratis"," 37.48.65.143"
"bluraytorrent.com.br"," 10.14.0.70"
"baixardvdr.com"," 10.14.0.70"
